rid,date,eid,cid,rate
406,2022-04-06 03:00:00,2,LUNA,117.4
407,2022-04-06 03:00:00,3,LUNA,117.4738
408,2022-04-06 03:00:00,4,LUNA,117.39
409,2022-04-06 03:00:00,5,LUNA,117.51
410,2022-04-06 03:00:00,1,ADA,1.154
411,2022-04-06 03:00:00,2,ADA,1.1536
412,2022-04-06 03:00:00,3,ADA,1.153146
413,2022-04-06 03:00:00,4,ADA,1.153907
414,2022-04-06 03:00:00,5,ADA,1.15334
415,2022-04-06 03:00:00,1,DOT,21.71
416,2022-04-06 03:00:00,2,DOT,21.71
417,2022-04-06 03:00:00,3,DOT,21.7046
418,2022-04-06 03:00:00,4,DOT,21.7042
419,2022-04-06 03:00:00,5,DOT,21.709
420,2022-04-06 04:00:00,1,BTC,45269.7
421,2022-04-06 04:00:00,2,BTC,45288.47
422,2022-04-06 04:00:00,3,BTC,45269.55
423,2022-04-06 04:00:00,4,BTC,45285.0
424,2022-04-06 04:00:00,5,BTC,45270.0
425,2022-04-06 04:00:00,1,ETH,3344.99
426,2022-04-06 04:00:00,2,ETH,3344.85
427,2022-04-06 04:00:00,3,ETH,3344.63
428,2022-04-06 04:00:00,4,ETH,3346.11
429,2022-04-06 04:00:00,5,ETH,3344.4
430,2022-04-06 04:00:00,1,LTC,120.3
431,2022-04-06 04:00:00,2,LTC,120.32
432,2022-04-06 04:00:00,3,LTC,120.26
433,2022-04-06 04:00:00,4,LTC,120.29
434,2022-04-06 04:00:00,5,LTC,120.245
435,2022-04-06 04:00:00,1,LUNA,117.84
436,2022-04-06 04:00:00,2,LUNA,118.04
437,2022-04-06 04:00:00,3,LUNA,117.8587
438,2022-04-06 04:00:00,4,LUNA,117.92
439,2022-04-06 04:00:00,5,LUNA,117.86
440,2022-04-06 04:00:00,1,ADA,1.142
441,2022-04-06 04:00:00,2,ADA,1.1407
442,2022-04-06 04:00:00,3,ADA,1.141499
443,2022-04-06 04:00:00,4,ADA,1.14164
444,2022-04-06 04:00:00,5,ADA,1.141385
